+----------------------------------------------+----------+-----------------+--------------------+-----------------+-------------+-------------+-------------------+------------------+--------------------------+--------------------+----------------------+
|                   Filename                   | CFG File | Sample Interval | Aggregate Interval | Update Interval | Min Regions | Max Regions | Elapsed - wo DAMO | Elapsed - w DAMO | Elapsed - w DAMO Default |     Overhead %     | Overhead-w-default % |
| 100mb_s100000_a2000000_u2000000_n1024_m1024  |  100mb   |      100000     |      2000000       |     2000000     |     1024    |     1024    |    5.180269977    |   10.824768928   |       9.693810675        | 108.96148224052298 |  87.12944919936167   |
| 100mb_s100000_a2000000_u2000000_n1024_m2048  |  100mb   |      100000     |      2000000       |     2000000     |     1024    |     2048    |    5.179048693    |   9.803671284    |       9.735300266        | 89.29482739273405  |  87.97468112547826   |
| 100mb_s100000_a2000000_u2000000_n2048_m2048  |  100mb   |      100000     |      2000000       |     2000000     |     2048    |     2048    |    5.176726358    |   11.069656841   |       9.699596586        | 113.83507791353881 |  87.36931248085878   |
| 100mb_s100000_a2000000_u4000000_n1024_m1024  |  100mb   |      100000     |      2000000       |     4000000     |     1024    |     1024    |    5.180094823    |   9.812995154    |       9.650956592        | 89.43659313782409  |  86.30849283200467   |
| 100mb_s100000_a2000000_u4000000_n1024_m2048  |  100mb   |      100000     |      2000000       |     4000000     |     1024    |     2048    |    5.180882762    |   9.808888437    |       9.720940265        |  89.3285157684871  |  87.63096390251802   |
| 100mb_s100000_a2000000_u4000000_n2048_m2048  |  100mb   |      100000     |      2000000       |     4000000     |     2048    |     2048    |     5.17738671    |   10.047116088   |        9.75734685        |  94.0576713845661  |  88.46084707472042   |
| 100mb_s100000_a2000000_u8000000_n1024_m1024  |  100mb   |      100000     |      2000000       |     8000000     |     1024    |     1024    |    5.177365486    |   9.813611896    |       9.683454447        | 89.54837016117118  |  87.03439950656016   |
| 100mb_s100000_a2000000_u8000000_n1024_m2048  |  100mb   |      100000     |      2000000       |     8000000     |     1024    |     2048    |    5.174800269    |   10.863044147   |       9.703365642        | 109.9219985759802  |  87.51188717618116   |
| 100mb_s100000_a2000000_u8000000_n2048_m2048  |  100mb   |      100000     |      2000000       |     8000000     |     2048    |     2048    |    5.177580602    |   10.046821625   |        9.75174467        |  94.0447169691401  |   88.3455887916663   |
| 100mb_s100000_a4000000_u4000000_n1024_m1024  |  100mb   |      100000     |      4000000       |     4000000     |     1024    |     1024    |    5.179901687    |   9.574479632    |       9.699660789        |  84.8390222545936  |  87.25569277392347   |
| 100mb_s100000_a4000000_u4000000_n1024_m2048  |  100mb   |      100000     |      4000000       |     4000000     |     1024    |     2048    |    5.178737123    |   9.602399339    |       9.725725244        | 85.41970968855449  |  87.80109924494421   |
| 100mb_s100000_a4000000_u4000000_n2048_m2048  |  100mb   |      100000     |      4000000       |     4000000     |     2048    |     2048    |    5.180293696    |   9.631122609    |       9.672051248        | 85.91846667760825  |  86.70855004742961   |
| 100mb_s100000_a4000000_u8000000_n1024_m1024  |  100mb   |      100000     |      4000000       |     8000000     |     1024    |     1024    |    5.180177043    |   9.622100353    |       9.727622867        | 85.74848452336963  |  87.78552907076771   |
| 100mb_s100000_a4000000_u8000000_n1024_m2048  |  100mb   |      100000     |      4000000       |     8000000     |     1024    |     2048    |    5.176039844    |    9.61895942    |       9.691519221        | 85.83627077658947  |  87.23811085485144   |
| 100mb_s100000_a4000000_u8000000_n2048_m2048  |  100mb   |      100000     |      4000000       |     8000000     |     2048    |     2048    |    5.179667708    |   9.641857493    |        9.80051542        | 86.14818626507922  |  89.21127710302916   |
|  100mb_s10000_a1000000_u1000000_n1024_m1024  |  100mb   |      10000      |      1000000       |     1000000     |     1024    |     1024    |    5.182334778    |   10.183685855   |       9.627419606        | 96.50768024929013  |  85.77378765397853   |
|  100mb_s10000_a1000000_u1000000_n1024_m2048  |  100mb   |      10000      |      1000000       |     1000000     |     1024    |     2048    |     5.17659189    |   10.178704376   |        9.70465507        | 96.62945413299715  |  87.47189804062377   |
|  100mb_s10000_a1000000_u1000000_n2048_m2048  |  100mb   |      10000      |      1000000       |     1000000     |     2048    |     2048    |    5.177893494    |   10.76957971    |       9.700617306        | 107.99152633169244 |  87.34679106939545   |
|  100mb_s10000_a1000000_u2000000_n1024_m1024  |  100mb   |      10000      |      1000000       |     2000000     |     1024    |     1024    |    5.181847701    |   10.17982013    |       9.711138162        | 96.45155005299529  |  87.40686184439444   |
|  100mb_s10000_a1000000_u2000000_n1024_m2048  |  100mb   |      10000      |      1000000       |     2000000     |     1024    |     2048    |    5.178705105    |   10.15710046    |       9.633769957        | 96.13204950004585  |   86.0266178836611   |
|  100mb_s10000_a1000000_u2000000_n2048_m2048  |  100mb   |      10000      |      1000000       |     2000000     |     2048    |     2048    |    5.183482634    |   10.838394452   |       9.662967198        | 109.09483482992219 |  86.41843486882223   |
|  100mb_s10000_a1000000_u4000000_n1024_m1024  |  100mb   |      10000      |      1000000       |     4000000     |     1024    |     1024    |    5.179506271    |   10.183500734   |       9.712073775        |  96.611418177391   |  87.50964410213763   |
|  100mb_s10000_a1000000_u4000000_n1024_m2048  |  100mb   |      10000      |      1000000       |     4000000     |     1024    |     2048    |    5.177461755    |   10.204896802   |       9.700249774        | 97.10231161330906  |  87.35531488247562   |
|  100mb_s10000_a1000000_u4000000_n2048_m2048  |  100mb   |      10000      |      1000000       |     4000000     |     2048    |     2048    |    5.182538857    |   10.816723175   |       9.735754866        |  108.714753009328  |  87.85686194807822   |
|  100mb_s10000_a1000000_u8000000_n1024_m1024  |  100mb   |      10000      |      1000000       |     8000000     |     1024    |     1024    |    5.181758267    |   10.182486066   |       9.703541484        | 96.50638917000639  |  87.26349211998082   |
|  100mb_s10000_a1000000_u8000000_n1024_m2048  |  100mb   |      10000      |      1000000       |     8000000     |     1024    |     2048    |    5.183276629    |   10.189320081   |       9.732698467        | 96.58067300501781  |  87.77115642538477   |
|  100mb_s10000_a1000000_u8000000_n2048_m2048  |  100mb   |      10000      |      1000000       |     8000000     |     2048    |     2048    |    5.179606108    |   10.806217448   |       9.772131718        | 108.6301008740721  |   88.6655377694987   |
|  100mb_s10000_a2000000_u2000000_n1024_m1024  |  100mb   |      10000      |      2000000       |     2000000     |     1024    |     1024    |    5.181103101    |   9.829136662    |       9.652243556        | 89.71127326346561  |  86.29707550380593   |
|  100mb_s10000_a2000000_u2000000_n1024_m2048  |  100mb   |      10000      |      2000000       |     2000000     |     1024    |     2048    |    5.178635715    |   9.794389791    |       9.706038349        | 89.13069638457857  |  87.42462075264932   |
|  100mb_s10000_a2000000_u2000000_n2048_m2048  |  100mb   |      10000      |      2000000       |     2000000     |     2048    |     2048    |    5.179797719    |   10.08249321    |       9.698698096        | 94.65032723220908  |  87.24086580493743   |
|  100mb_s10000_a2000000_u4000000_n1024_m1024  |  100mb   |      10000      |      2000000       |     4000000     |     1024    |     1024    |    5.175925004    |   9.802924403    |       9.683817208        | 89.39463758505418  |  87.09346059914435   |
|  100mb_s10000_a2000000_u4000000_n1024_m2048  |  100mb   |      10000      |      2000000       |     4000000     |     1024    |     2048    |    5.181358604    |   9.802197405    |       9.679423173        |  89.1819917160862  |  86.81245427651933   |
