+----------------------------------------------+----------+-----------------+--------------------+-----------------+-------------+-------------+------------------------+-----------------------+--------------------+
|                   Filename                   | CFG File | Sample Interval | Aggregate Interval | Update Interval | Min Regions | Max Regions | Time Elapsed - wo DAMO | Time Elapsed - w DAMO |     Overhead %     |
|    100mb_s100000_a100000_u100000_n16_m64     |  100mb   |      100000     |       100000       |      100000     |      16     |      64     |      5.205607662       |      9.578758632      | 84.00846268002898  |
|  100mb_s100000_a100000_u100000_n2048_m2048   |  100mb   |      100000     |       100000       |      100000     |     2048    |     2048    |      5.177161424       |      21.995000533     | 324.8467206573236  |
|   100mb_s100000_a100000_u100000_n512_m1024   |  100mb   |      100000     |       100000       |      100000     |     512     |     1024    |      5.176337813       |      12.183915183     | 135.37712612961568 |
|   100mb_s100000_a100000_u100000_n512_m2048   |  100mb   |      100000     |       100000       |      100000     |     512     |     2048    |      5.176592404       |      12.256779146     | 136.77311616284632 |
|   100mb_s100000_a100000_u100000_n512_m512    |  100mb   |      100000     |       100000       |      100000     |     512     |     512     |      5.177688436       |      13.225525392     | 155.43300944962456 |
|   100mb_s100000_a100000_u100000_n64_m1024    |  100mb   |      100000     |       100000       |      100000     |      64     |     1024    |      5.177587775       |      9.848479832      | 90.21367208014162  |
|   100mb_s100000_a100000_u100000_n64_m2048    |  100mb   |      100000     |       100000       |      100000     |      64     |     2048    |      5.176801511       |      9.844044928      | 90.15689334587665  |
|    100mb_s100000_a100000_u100000_n64_m512    |  100mb   |      100000     |       100000       |      100000     |      64     |     512     |       5.17703636       |      9.825945206      | 89.79865163628097  |
|    100mb_s100000_a100000_u100000_n64_m64     |  100mb   |      100000     |       100000       |      100000     |      64     |      64     |      5.176643235       |      9.783926399      | 89.00136545724307  |
|  100mb_s10000_a1000000_u1000000_n1024_m1024  |  100mb   |      10000      |      1000000       |     1000000     |     1024    |     1024    |      5.175937681       |      10.035745661     | 93.89232018460233  |
|  100mb_s10000_a1000000_u1000000_n1024_m2048  |  100mb   |      10000      |      1000000       |     1000000     |     1024    |     2048    |      5.175118322       |      10.03297242      | 93.86943052777605  |
|   100mb_s10000_a1000000_u1000000_n16_m1024   |  100mb   |      10000      |      1000000       |     1000000     |      16     |     1024    |      5.177441885       |      9.466973132      | 82.85039875440339  |
|    100mb_s10000_a1000000_u1000000_n16_m16    |  100mb   |      10000      |      1000000       |     1000000     |      16     |      16     |      5.179279088       |      9.456383656      | 82.58107924536696  |
|   100mb_s10000_a1000000_u1000000_n16_m2048   |  100mb   |      10000      |      1000000       |     1000000     |      16     |     2048    |      5.175593077       |      9.486468146      |  83.2923880387206  |
|   100mb_s10000_a1000000_u1000000_n16_m512    |  100mb   |      10000      |      1000000       |     1000000     |      16     |     512     |      5.177089054       |      9.444325939      | 82.42541011928286  |
